,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
135,4050,123,0,0,53.983739837398375,1.3385253782847333,8.99652710772329,12.75
136,4080,130,1,1,40.3,2.775995630510069,9.379998667377304,10.375
137,4110,137,0,0,27.905109489051096,2.814925204453389,9.447221813845593,10.5
138,4140,128,1,0,45.859375,1.5234759145434675,8.789197915623474,13.0
139,4170,132,0,0,29.901515151515152,2.7501071377475066,8.305683295190107,10.375
140,4200,130,1,1,24.638461538461538,2.82164406880501,7.423568885650621,10.125
141,4230,129,1,2,22.131782945736433,2.939461988252967,6.800735254367722,10.0
142,4260,134,1,1,24.402985074626866,2.9391419132916643,6.905613658466566,10.25
143,4290,141,1,0,28.588652482269502,2.456486183417359,8.469614808242461,12.625
144,4320,141,0,1,26.99290780141844,2.5713458636672084,8.481597726843686,10.75
145,4350,144,2,1,24.71527777777778,2.5477274312540548,8.506431390424542,11.875
146,4380,147,2,1,21.64625850340136,2.5590789487915306,7.729812416870153,11.5
147,4410,154,1,2,31.38961038961039,1.8067943183551582,9.460443964212251,15.0
148,4440,158,2,1,29.841772151898734,2.2348830337736243,9.707439157676962,13.375
149,4470,154,1,1,27.40909090909091,2.2717974250136597,8.594147718069546,12.875
150,4500,148,0,1,23.60810810810811,2.3268147276598214,6.383572667401852,12.5
151,4530,150,0,2,31.553333333333335,2.025309189297365,9.134412953222554,14.25
152,4560,144,0,2,30.375,2.499747753002178,8.816709987291178,11.625
153,4590,143,0,2,26.818181818181817,2.4175941876348683,8.802520945729126,11.375
154,4620,139,1,1,21.899280575539567,2.6663630312542606,6.422616289332565,11.0
155,4650,142,1,1,23.971830985915492,2.652022620351616,6.239991987174342,11.25
156,4680,148,0,2,29.41216216216216,2.196612109914573,8.123076695439973,13.625
157,4710,152,0,0,29.355263157894736,2.3846296913409533,9.287087810503355,12.5
158,4740,146,0,2,26.595890410958905,2.5224976972767124,7.280109889280518,11.5
159,4770,153,2,2,22.326797385620914,2.4260442665177497,6.855654600401044,12.5
160,4800,156,0,0,29.75,2.255388674896565,7.920503456220444,13.375
161,4830,152,1,2,46.046052631578945,2.0873814324538302,8.888194417315589,14.0
