,Simulation_step,avg_wait_time_30,reward_epoch
0,0,0.76,-0.76
1,30,9.461538461538462,-9.461538461538462
2,60,11.604651162790697,-11.604651162790697
3,90,18.275862068965516,-18.275862068965516
4,120,31.49206349206349,-31.49206349206349
5,150,44.08860759493671,-44.08860759493671
6,180,58.57954545454545,-58.57954545454545
7,210,73.03333333333333,-73.03333333333333
8,240,81.41935483870968,-81.41935483870968
9,270,83.06122448979592,-83.06122448979592
10,300,84.07,-84.07
11,330,75.81521739130434,-75.81521739130434
12,360,79.70370370370371,-79.70370370370371
13,390,74.97674418604652,-74.97674418604652
14,420,75.71111111111111,-75.71111111111111
15,450,79.82795698924731,-79.82795698924731
16,480,73.60227272727273,-73.60227272727273
17,510,77.875,-77.875
18,540,68.69620253164557,-68.69620253164557
19,570,54.74285714285714,-54.74285714285714
20,600,45.8974358974359,-45.8974358974359
21,630,35.65882352941176,-35.65882352941176
22,660,46.27272727272727,-46.27272727272727
23,690,45.30434782608695,-45.30434782608695
24,720,52.138888888888886,-52.138888888888886
25,750,53.28089887640449,-53.28089887640449
26,780,52.42857142857143,-52.42857142857143
27,810,73.3896103896104,-73.3896103896104
28,840,79.7875,-79.7875
29,870,81.78313253012048,-81.78313253012048
30,900,81.2875,-81.2875
31,930,81.6103896103896,-81.6103896103896
32,960,80.58974358974359,-80.58974358974359
33,990,80.44444444444444,-80.44444444444444
34,1020,77.36585365853658,-77.36585365853658
35,1050,78.90361445783132,-78.90361445783132
36,1080,72.63291139240506,-72.63291139240506
37,1110,64.65,-64.65
38,1140,73.35211267605634,-73.35211267605634
39,1170,54.12903225806452,-54.12903225806452
40,1200,46.671875,-46.671875
41,1230,37.985915492957744,-37.985915492957744
42,1260,52.11940298507463,-52.11940298507463
43,1290,69.84507042253522,-69.84507042253522
44,1320,78.5,-78.5
45,1350,80.12820512820512,-80.12820512820512
46,1380,80.45121951219512,-80.45121951219512
47,1410,80.94186046511628,-80.94186046511628
48,1440,82.65168539325843,-82.65168539325843
49,1470,84.75824175824175,-84.75824175824175
50,1500,67.7948717948718,-67.7948717948718
51,1530,63.51807228915663,-63.51807228915663
52,1560,64.14666666666666,-64.14666666666666
