,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
39,1200,76.4920634920635,8.55298155298155,-76.4920634920635
40,1230,73.66666666666667,2.8253968253968225,-73.66666666666667
41,1260,78.41134751773049,-4.744680851063819,-78.41134751773049
42,1290,88.177304964539,-9.765957446808514,-88.177304964539
43,1320,90.4421768707483,-2.2648719062092937,-90.4421768707483
44,1350,90.43506493506493,0.007111935683369097,-90.43506493506493
45,1380,91.47169811320755,-1.0366331781426226,-91.47169811320755
46,1410,95.79245283018868,-4.320754716981128,-95.79245283018868
47,1440,98.62264150943396,-2.830188679245282,-98.62264150943396
48,1470,99.937106918239,-1.3144654088050345,-99.937106918239
49,1500,98.52898550724638,1.4081214109926208,-98.52898550724638
50,1530,86.00699300699301,12.521992500253361,-86.00699300699301
51,1560,78.26896551724138,7.73802748975163,-78.26896551724138
52,1590,77.85034013605443,0.41862538118695625,-77.85034013605443
53,1620,85.44094488188976,-7.590604745835336,-85.44094488188976
54,1650,83.3305785123967,2.1103663694930646,-83.3305785123967
55,1680,83.6470588235294,-0.31648031113270747,-83.6470588235294
56,1710,75.3125,8.334558823529406,-75.3125
57,1740,78.49532710280374,-3.182827102803742,-78.49532710280374
58,1770,80.81981981981981,-2.3244927170160707,-80.81981981981981
59,1800,80.87288135593221,-0.05306153611239495,-80.87288135593221
60,1830,83.11666666666666,-2.2437853107344523,-83.11666666666666
61,1860,81.2063492063492,1.910317460317458,-81.2063492063492
62,1890,83.07874015748031,-1.8723909511311092,-83.07874015748031
63,1920,82.59398496240601,0.48475519507429965,-82.59398496240601
64,1950,84.42142857142858,-1.8274436090225663,-84.42142857142858
65,1980,84.93877551020408,-0.5173469387755034,-84.93877551020408
66,2010,88.15789473684211,-3.2191192266380284,-88.15789473684211
67,2040,87.2547770700637,0.9031176667784138,-87.2547770700637
68,2070,88.56028368794327,-1.3055066178795727,-88.56028368794327
69,2100,92.97163120567376,-4.411347517730491,-92.97163120567376
70,2130,95.64748201438849,-2.6758508087147277,-95.64748201438849
71,2160,94.69503546099291,0.9524465533955748,-94.69503546099291
72,2190,95.28368794326241,-0.5886524822694952,-95.28368794326241
73,2220,96.40425531914893,-1.120567375886523,-96.40425531914893
74,2250,97.14634146341463,-0.7420861442656985,-97.14634146341463
75,2280,85.6,11.546341463414635,-85.6
76,2310,77.53333333333333,8.066666666666663,-77.53333333333333
77,2340,80.71818181818182,-3.1848484848484873,-80.71818181818182
78,2370,80.77083333333333,-0.0526515151515099,-80.77083333333333
79,2400,71.89908256880734,8.871750764525984,-71.89908256880734
80,2430,67.55038759689923,4.348694971908117,-67.55038759689923
81,2460,76.02255639097744,-8.472168794078215,-76.02255639097744
82,2490,90.54135338345864,-14.5187969924812,-90.54135338345864
83,2520,97.89473684210526,-7.3533834586466185,-97.89473684210526
84,2550,99.98496240601504,-2.090225563909783,-99.98496240601504
85,2580,97.56923076923077,2.4157316367842725,-97.56923076923077
86,2610,95.336,2.2332307692307722,-95.336
87,2640,92.66346153846153,2.6725384615384655,-92.66346153846153
88,2670,85.13095238095238,7.532509157509153,-85.13095238095238
89,2700,79.875,5.25595238095238,-79.875
90,2730,75.98148148148148,3.893518518518519,-75.98148148148148
91,2760,75.78512396694215,0.19635751453932926,-75.78512396694215
92,2790,79.19548872180451,-3.410364754862357,-79.19548872180451
93,2820,88.55223880597015,-9.35675008416564,-88.55223880597015
94,2850,95.63432835820896,-7.082089552238813,-95.63432835820896
95,2880,97.578125,-1.9437966417910388,-97.578125
96,2910,93.50847457627118,4.069650423728817,-93.50847457627118
97,2940,91.8119658119658,1.6965087643053778,-91.8119658119658
98,2970,87.86086956521739,3.9510962467484205,-87.86086956521739
99,3000,91.0925925925926,-3.2317230273752102,-91.0925925925926
100,3030,89.03636363636363,2.0562289562289635,-89.03636363636363
101,3060,89.1981981981982,-0.16183456183456713,-89.1981981981982
102,3090,91.35135135135135,-2.1531531531531556,-91.35135135135135
103,3120,93.32584269662921,-1.9744913452778547,-93.32584269662921
104,3150,71.16867469879519,22.157167997834023,-71.16867469879519
105,3180,46.03896103896104,25.129713659834145,-46.03896103896104
106,3210,50.04,-4.001038961038958,-50.04
107,3240,69.21052631578948,-19.17052631578948,-69.21052631578948
108,3270,76.8641975308642,-7.6536712150747235,-76.8641975308642
109,3300,82.21686746987952,-5.352669939015314,-82.21686746987952
110,3330,83.6,-1.383132530120477,-83.6
111,3360,84.13636363636364,-0.5363636363636459,-84.13636363636364
112,3390,82.96774193548387,1.1686217008797684,-82.96774193548387
113,3420,84.50526315789473,-1.5375212224108594,-84.50526315789473
114,3450,80.03092783505154,4.474335322843189,-80.03092783505154
115,3480,63.824175824175825,16.206752010875718,-63.824175824175825
116,3510,71.575,-7.750824175824178,-71.575
117,3540,74.08333333333333,-2.5083333333333258,-74.08333333333333
118,3570,79.54022988505747,-5.456896551724142,-79.54022988505747
119,3600,83.35555555555555,-3.8153256704980834,-83.35555555555555
120,3630,84.31182795698925,-0.9562724014336936,-84.31182795698925
121,3660,84.02061855670104,0.29120940028820996,-84.02061855670104
122,3690,71.23863636363636,12.781982193064678,-71.23863636363636
123,3720,55.28395061728395,15.95468574635241,-55.28395061728395
124,3750,47.94117647058823,7.342774146695717,-47.94117647058823
125,3780,50.130434782608695,-2.1892583120204634,-50.130434782608695
126,3810,59.53398058252427,-9.403545799915577,-59.53398058252427
127,3840,76.26923076923077,-16.7352501867065,-76.26923076923077
128,3870,84.28971962616822,-8.020488856937448,-84.28971962616822
129,3900,83.92173913043479,0.36798049573343405,-83.92173913043479
130,3930,81.344,2.577739130434793,-81.344
131,3960,74.79661016949153,6.547389830508465,-74.79661016949153
132,3990,78.0,-3.2033898305084705,-78.0
133,4020,81.72380952380952,-3.7238095238095212,-81.72380952380952
134,4050,78.41509433962264,3.3087151841868803,-78.41509433962264
135,4080,75.97368421052632,2.441410129096326,-75.97368421052632
136,4110,73.89075630252101,2.0829279080053027,-73.89075630252101
137,4140,79.44628099173553,-5.555524689214522,-79.44628099173553
138,4170,88.3801652892562,-8.933884297520663,-88.3801652892562
139,4200,89.52380952380952,-1.1436442345533209,-89.52380952380952
140,4230,92.28346456692914,-2.759655043119622,-92.28346456692914
141,4260,93.5859375,-1.3024729330708595,-93.5859375
142,4290,89.00757575757575,4.578361742424249,-89.00757575757575
143,4320,90.45736434108527,-1.4497885835095161,-90.45736434108527
144,4350,86.53383458646617,3.9235297546190964,-86.53383458646617
145,4380,82.8951048951049,3.638729691361277,-82.8951048951049
146,4410,87.50340136054422,-4.608296465439324,-87.50340136054422
147,4440,92.82993197278911,-5.326530612244895,-92.82993197278911
148,4470,96.95238095238095,-4.122448979591837,-96.95238095238095
149,4500,88.15671641791045,8.795664534470504,-88.15671641791045
150,4530,82.38775510204081,5.768961315869632,-82.38775510204081
151,4560,84.0326797385621,-1.6449246365212815,-84.0326797385621
152,4590,90.81632653061224,-6.783646792050149,-90.81632653061224
153,4620,92.37142857142857,-1.5551020408163225,-92.37142857142857
154,4650,92.71641791044776,-0.34498933901919315,-92.71641791044776
155,4680,85.85,6.866417910447765,-85.85
156,4710,76.88073394495413,8.969266055045864,-76.88073394495413
157,4740,71.808,5.072733944954123,-71.808
158,4770,73.43571428571428,-1.6277142857142763,-73.43571428571428
159,4800,77.9051094890511,-4.469395203336816,-77.9051094890511
160,4830,82.54109589041096,-4.635986401359858,-82.54109589041096
161,4860,89.09395973154362,-6.5528638411326625,-89.09395973154362
162,4890,93.76388888888889,-4.6699291573452655,-93.76388888888889
