,Simulation_step,avg_wait_time_30,reward_epoch
0,0,0.7777777777777778,-0.7777777777777778
1,30,9.108108108108109,-9.108108108108109
2,60,10.380952380952381,-10.380952380952381
3,90,20.02127659574468,-20.02127659574468
4,120,28.942307692307693,-28.942307692307693
5,150,28.370967741935484,-28.370967741935484
6,180,26.83823529411765,-26.83823529411765
7,210,41.733333333333334,-41.733333333333334
8,240,55.72380952380952,-55.72380952380952
9,270,75.53846153846153,-75.53846153846153
10,300,84.32926829268293,-84.32926829268293
11,330,81.921875,-81.921875
12,360,80.02941176470588,-80.02941176470588
13,390,80.15714285714286,-80.15714285714286
14,420,67.71428571428571,-67.71428571428571
15,450,69.14666666666666,-69.14666666666666
16,480,65.0,-65.0
17,510,73.73846153846154,-73.73846153846154
18,540,76.27536231884058,-76.27536231884058
19,570,73.20779220779221,-73.20779220779221
20,600,73.24705882352941,-73.24705882352941
21,630,62.5974025974026,-62.5974025974026
22,660,56.956989247311824,-56.956989247311824
23,690,50.476190476190474,-50.476190476190474
24,720,53.79347826086956,-53.79347826086956
25,750,61.13253012048193,-61.13253012048193
26,780,66.16470588235295,-66.16470588235295
27,810,68.42424242424242,-68.42424242424242
28,840,74.5607476635514,-74.5607476635514
29,870,91.34,-91.34
30,900,94.22784810126582,-94.22784810126582
31,930,81.70491803278688,-81.70491803278688
32,960,80.46031746031746,-80.46031746031746
33,990,54.48148148148148,-54.48148148148148
34,1020,42.116883116883116,-42.116883116883116
35,1050,45.94,-45.94
36,1080,49.630434782608695,-49.630434782608695
37,1110,62.470588235294116,-62.470588235294116
38,1140,61.97826086956522,-61.97826086956522
39,1170,56.6625,-56.6625
40,1200,61.63013698630137,-61.63013698630137
41,1230,65.67441860465117,-65.67441860465117
42,1260,73.43529411764706,-73.43529411764706
43,1290,63.39473684210526,-63.39473684210526
44,1320,59.35164835164835,-59.35164835164835
45,1350,57.96341463414634,-57.96341463414634
46,1380,62.075268817204304,-62.075268817204304
47,1410,68.56603773584905,-68.56603773584905
48,1440,78.72277227722772,-78.72277227722772
49,1470,86.44303797468355,-86.44303797468355
50,1500,77.82222222222222,-77.82222222222222
51,1530,76.24,-76.24
52,1560,75.97435897435898,-75.97435897435898
53,1590,74.93333333333334,-74.93333333333334
54,1620,69.17283950617283,-69.17283950617283
55,1650,67.3103448275862,-67.3103448275862
56,1680,57.87341772151899,-57.87341772151899
57,1710,55.083333333333336,-55.083333333333336
58,1740,66.60952380952381,-66.60952380952381
59,1770,68.75555555555556,-68.75555555555556
60,1800,70.33333333333333,-70.33333333333333
61,1830,70.87654320987654,-70.87654320987654
62,1860,70.6236559139785,-70.6236559139785
63,1890,62.404761904761905,-62.404761904761905
64,1920,51.32051282051282,-51.32051282051282
65,1950,61.53409090909091,-61.53409090909091
66,1980,53.607594936708864,-53.607594936708864
67,2010,54.51136363636363,-54.51136363636363
68,2040,47.63157894736842,-47.63157894736842
69,2070,54.56603773584906,-54.56603773584906
70,2100,69.38775510204081,-69.38775510204081
71,2130,63.32222222222222,-63.32222222222222
72,2160,50.15853658536585,-50.15853658536585
73,2190,55.81443298969072,-55.81443298969072
74,2220,53.0,-53.0
75,2250,52.94565217391305,-52.94565217391305
76,2280,54.981308411214954,-54.981308411214954
77,2310,48.47787610619469,-48.47787610619469
78,2340,50.77570093457944,-50.77570093457944
79,2370,63.103092783505154,-63.103092783505154
80,2400,71.9,-71.9
81,2430,86.77,-86.77
82,2460,94.48,-94.48
83,2490,96.125,-96.125
84,2520,81.98360655737704,-81.98360655737704
85,2550,73.3,-73.3
86,2580,68.96296296296296,-68.96296296296296
87,2610,65.5,-65.5
88,2640,61.095238095238095,-61.095238095238095
89,2670,71.54285714285714,-71.54285714285714
90,2700,68.51428571428572,-68.51428571428572
91,2730,55.9,-55.9
92,2760,46.30769230769231,-46.30769230769231
93,2790,36.8433734939759,-36.8433734939759
94,2820,44.67391304347826,-44.67391304347826
95,2850,62.45192307692308,-62.45192307692308
96,2880,74.60714285714286,-74.60714285714286
97,2910,88.92,-88.92
98,2940,91.9620253164557,-91.9620253164557
99,2970,80.78688524590164,-80.78688524590164
100,3000,82.47540983606558,-82.47540983606558
101,3030,73.87142857142857,-73.87142857142857
102,3060,54.33870967741935,-54.33870967741935
103,3090,45.925925925925924,-45.925925925925924
104,3120,50.077669902912625,-50.077669902912625
105,3150,65.72115384615384,-65.72115384615384
106,3180,79.8048780487805,-79.8048780487805
107,3210,80.484375,-80.484375
108,3240,73.61428571428571,-73.61428571428571
109,3270,70.275,-70.275
110,3300,71.64444444444445,-71.64444444444445
111,3330,74.84158415841584,-74.84158415841584
112,3360,77.85714285714286,-77.85714285714286
113,3390,71.10227272727273,-71.10227272727273
114,3420,68.27,-68.27
115,3450,74.8921568627451,-74.8921568627451
116,3480,83.7125,-83.7125
117,3510,79.82022471910112,-79.82022471910112
118,3540,76.21428571428571,-76.21428571428571
119,3570,79.58823529411765,-79.58823529411765
120,3600,87.30864197530865,-87.30864197530865
121,3630,82.83870967741936,-82.83870967741936
122,3660,73.4,-73.4
123,3690,75.91803278688525,-75.91803278688525
124,3720,44.5,-44.5
125,3750,20.916666666666668,-20.916666666666668
126,3780,30.35211267605634,-30.35211267605634
127,3810,44.168539325842694,-44.168539325842694
128,3840,52.29032258064516,-52.29032258064516
129,3870,49.229885057471265,-49.229885057471265
130,3900,47.592592592592595,-47.592592592592595
131,3930,55.43157894736842,-55.43157894736842
132,3960,63.28440366972477,-63.28440366972477
133,3990,61.693069306930695,-61.693069306930695
134,4020,76.42391304347827,-76.42391304347827
135,4050,80.59375,-80.59375
136,4080,81.53,-81.53
137,4110,74.81521739130434,-74.81521739130434
