,Simulation_step,avg_wait_time_30,reward_epoch
0,0,0.5217391304347826,-0.5217391304347826
1,30,10.461538461538462,-10.461538461538462
2,60,22.11764705882353,-22.11764705882353
3,90,33.80952380952381,-33.80952380952381
4,120,44.136986301369866,-44.136986301369866
5,150,53.073170731707314,-53.073170731707314
6,180,55.38461538461539,-55.38461538461539
7,210,66.06194690265487,-66.06194690265487
8,240,74.98373983739837,-74.98373983739837
9,270,83.40625,-83.40625
10,300,84.65925925925926,-84.65925925925926
11,330,79.55555555555556,-79.55555555555556
12,360,79.1029411764706,-79.1029411764706
13,390,79.31623931623932,-79.31623931623932
14,420,75.8923076923077,-75.8923076923077
15,450,72.92063492063492,-72.92063492063492
16,480,71.32867132867133,-71.32867132867133
17,510,74.33333333333333,-74.33333333333333
18,540,78.68,-78.68
19,570,86.93150684931507,-86.93150684931507
20,600,90.09333333333333,-90.09333333333333
21,630,90.58,-90.58
22,660,89.31333333333333,-89.31333333333333
23,690,88.24516129032259,-88.24516129032259
24,720,87.90853658536585,-87.90853658536585
25,750,87.90588235294118,-87.90588235294118
26,780,89.21022727272727,-89.21022727272727
27,810,89.93373493975903,-89.93373493975903
28,840,91.62179487179488,-91.62179487179488
29,870,94.9551282051282,-94.9551282051282
30,900,95.91240875912409,-95.91240875912409
31,930,86.76428571428572,-86.76428571428572
32,960,80.40277777777777,-80.40277777777777
33,990,77.4140127388535,-77.4140127388535
34,1020,81.82424242424243,-81.82424242424243
35,1050,86.67052023121387,-86.67052023121387
36,1080,92.57471264367815,-92.57471264367815
37,1110,94.46794871794872,-94.46794871794872
38,1140,90.94303797468355,-90.94303797468355
39,1170,87.37575757575758,-87.37575757575758
40,1200,88.60402684563758,-88.60402684563758
41,1230,95.00719424460432,-95.00719424460432
42,1260,91.44262295081967,-91.44262295081967
43,1290,80.18691588785046,-80.18691588785046
44,1320,79.95,-79.95
45,1350,79.36697247706422,-79.36697247706422
46,1380,76.5982905982906,-76.5982905982906
47,1410,69.99107142857143,-69.99107142857143
